	VL	GM	SM	BF
0	31.4041673004	52.0147572816	23.0227280335	22.7133006993
1	31.9974752852	51.9297087379	22.5998410042	22.4597272727
2	31.6607604563	51.8446601942	22.3461087866	22.6569510489
3	30.7040304183	51.5895145631	22.5761087866	22.851979021
4	29.4654752852	51.4194174757	22.3832217573	22.5116853147
5	28.5651102662	51.7312621359	22.1294895398	21.8918391608
6	27.9183878327	51.6178640777	21.593832636	21.6382657343
7	28.2862357414	51.532815534	21.0863682008	21.6122867133
8	28.1735057034	51.4761165049	20.776251046	21.3327342657
9	27.2998479087	51.3060194175	20.3860167364	20.7996083916
10	25.6934448669	50.9941747573	20.3578242678	20.3228321678
11	24.0306768061	50.9091262136	20.4468619247	20.1841538462
12	22.4806387833	50.9941747573	20.1975899582	20.4377272727
13	21.0996958175	50.6823300971	19.7509707113	20.6631258741
14	20.6473003802	50.6823300971	19.6144686192	20.6913006993
15	21.1531102662	50.5972815534	19.7035062762	20.5200559441
16	22.6734904943	50.4838834951	19.1441171548	20.4637062937
17	24.1389809886	50.2287378641	18.8948451883	20.0129090909
18	25.1817338403	50.427184466	18.4200334728	19.3367132867
19	26.2526692015	50.2287378641	17.6351046025	18.8013916084
20	26.955756654	50.427184466	16.930292887	18.2660699301
21	27.0951939164	50.0302912621	16.4228284519	18.097020979
22	27.2346311787	49.9168932039	16.1127112971	18.071041958
23	27.1782661597	49.7751456311	15.609707113	17.901993007
24	27.4600912548	49.4349514563	15.5577824268	17.4793706294
25	28.0237414449	49.1231067961	15.844167364	16.9722237762
26	28.7283041825	48.867961165	15.8204351464	16.7186503496
27	29.6019619772	48.9246601942	15.8248953975	16.0706293706
28	30.5038022814	48.8963106796	15.9139330544	14.999986014
29	31.3492775665	48.7829126214	16.0548953975	14.2110909091
30	32.1947528517	48.5844660194	16.1394728033	13.9011678322
31	32.7865855513	48.4427184466	16.2522426778	13.9271468531
32	33.2656882129	48.414368932	16.6795899582	13.9834965035
33	33.772973384	48.1308737864	16.5994728033	13.8426223776
34	34.3662813688	47.960776699	16.8012803347	13.4481748252
35	34.0577490494	47.960776699	17.0594728033	13.4221958042
36	33.354661597	47.7906796116	17.1203179916	13.6216153846
37	32.623391635	47.6205825243	17.0120083682	14.0746083916
38	31.8075741445	47.3370873786	17.3829707113	15.0325524476
39	31.1326692015	46.9401941748	17.8622426778	15.427
40	30.7677718631	46.8267961165	17.185623431	15.5396993007
41	30.7128821293	46.7133980583	16.1425020921	15.6523986014
42	30.855269962	46.7700970874	15.3531129707	15.8214475524
43	30.6579923954	46.3165048544	15.3249205021	15.7369230769
44	30.4607148289	46.146407767	15.5267280335	15.5678741259
45	29.8110418251	46.0330097087	14.9109539749	15.5115244755
46	28.9655665399	45.947961165	14.3189121339	15.5375034965
47	28.0919087453	45.9196116505	13.8960251046	15.7043566434
48	27.4155285171	45.947961165	13.5859079498	15.8148601399
49	26.68278327	45.6361165048	13.5621757322	15.8971888112
50	26.0064030418	45.7778640777	13.9895230126	15.4182167832
51	25.5836653992	45.8062135922	14.4124100418	15.025965035
52	25.4991178707	45.692815534	14.8352970711	14.6900629371
53	25.4709353612	45.6361165049	15.2581841004	14.5232097902
54	25.4145703422	45.6077669903	15.8502259414	14.5535804196
55	25.3018403042	45.4093203883	16.333958159	14.8071538462
56	25.2172927757	45.239223301	16.33841841	14.8635034965
57	24.9072851711	45.3809708738	16.3102259414	14.9176573427
58	24.8227376426	45.3242718447	16.6767280335	15.0281608392
59	24.9072851711	45.3526213592	16.8978075314	15.2795384615
60	25.2736577947	45.3809708738	16.8696150628	15.390041958
61	25.5554828897	45.239223301	16.9541924686	15.2751468531
62	25.6963954373	44.8706796116	17.2643096234	14.9652237762
63	25.8091254753	45.0124271845	17.6308117155	14.768
64	25.5851406844	44.8139805825	17.6590041841	14.7398251748
65	24.8538707224	44.6155339806	17.5744267782	14.8828951049
66	23.4180380228	44.3887378641	17.5462343096	14.5707762238
67	21.7849277567	44.2753398058	17.4052719665	14.8221538462
68	20.3209125475	44.2469902913	17.3488870293	15.1580559441
69	19.3641825095	44.2186407767	17.5744267782	15.4094335664
70	18.604730038	43.8784466019	18.0017740586	15.4657832168
71	18.2961977186	44.0201941748	17.97358159	15.6911818182
72	18.0158479087	43.9634951456	18.2317740586	15.8884055944
73	17.9313003802	43.8500970874	18.3727364017	15.8624265734
74	17.5649277567	43.9067961165	18.4855062762	15.7237482517
75	16.860365019	43.8500970874	18.2881589958	15.6414195804
76	16.2121673004	43.9067961165	18.3163514644	14.937048951
77	15.3385095057	43.6516504854	18.3727364017	14.5447972028
78	14.4366692015	43.4248543689	18.570083682	14.4624685315
79	13.9575665399	43.4532038835	18.7065857741	14.5773636364
80	13.5348288973	43.6233009709	18.565623431	14.6922587413
81	13.3375513308	43.226407767	18.6220083682	14.5817552448
82	13.3375513308	43.226407767	18.5938158996	14.3022027972
83	12.800608365	43.1980582524	19.1294728034	14.1331538462
84	12.1805931559	43.1980582524	19.1858577406	14.922048951
85	12.2636653992	43.0279611651	19.1294728034	15.0607272727
86	12.9103878327	42.9996116505	19.6651297071	14.9458321678
87	13.4443802281	43.226407767	20.2007866109	14.5773636364
88	14.0065551331	43.5382524272	20.4827112971	13.9834965035
89	14.230539924	43.6516504854	20.0034393305	13.5868531469
90	14.2572471483	43.8217475728	19.8298242678	13.2465594406
91	14.3136121673	43.9351456311	20.0509037657	13.162034965
92	14.5108897338	43.7366990291	20.3001757322	13.3029090909
93	14.9899923954	44.1052427184	19.9010209205	13.5564825175
94	15.2718174905	44.2469902913	19.5627112971	13.8100559441
95	15.7523954373	44.3036893204	19.8446359833	13.8100559441
96	16.4005931559	44.3036893204	20.4129456067	13.8686013986
97	16.7106007605	44.2469902913	21.4041422594	13.8426223776
98	16.964243346	44.2186407767	22.479916318	13.872993007
99	17.076973384	44.1902912621	23.1283430962	13.9033636364
100	17.076973384	43.8217475728	22.705456067	13.9337342657
101	16.9924258555	43.5382524272	22.2781087866	13.9315384615
102	16.6260532319	43.4248543689	21.6014895398	13.8448181818
103	16.3160456274	43.0563106796	21.2913723849	13.7017482517
104	16.2314980989	42.8862135922	21.2349874477	13.5868531469
105	16.2878631179	42.6877669903	21.4605271967	13.6691818182
106	16.3442281369	42.6877669903	22.0525690377	13.7515104895
107	16.3160456274	42.2908737864	22.6772635983	13.9769090909
108	16.2878631179	42.0640776699	22.3434142259	14.1177832168
109	16.3724106464	42.0640776699	22.3760669456	14.0614335664
110	16.2033155894	42.2058252427	23.0571464435	14.1177832168
111	16.1751330799	42.2058252427	23.53641841	14.3995314685
112	16.4851406844	42.2625242719	23.6773807531	14.3713566434
113	16.5133231939	42.2908737864	23.5082259414	14.5122307692
114	16.6260532319	42.3759223301	23.6209958159	14.9066783217
115	16.73878327	42.5176699029	24.1002677824	15.2447762238
116	16.7669657795	42.7444660194	25.17158159	15.6695944056
117	16.795148289	42.3759223301	25.9609707113	15.7844895105
118	16.907878327	42.319223301	26.2710878661	15.7021608392
119	16.8796958175	42.319223301	26.1865104603	15.648006993
120	16.8233307985	42.319223301	25.7918158996	16.0142797203
121	16.851513308	42.2908737864	26.0500083682	15.8170559441
122	16.8233307985	42.120776699	25.8808535565	15.7043566434
123	16.851513308	42.0640776699	26.4165104603	15.4226083916
124	16.851513308	42.0357281553	27.177707113	15.3380839161
125	16.907878327	41.667184466	28.1080585774	15.169034965
126	16.8796958175	41.6104854369	29.0947949791	15.2839300699
127	16.5963954373	41.5254368932	29.6586443515	15.0585314685
128	16.4554828897	41.4970873786	29.5176820084	14.8591118881
129	16.2300228137	41.2986407767	29.2966025105	14.4061188811
130	16.0045627376	40.8733980583	29.2402175732	14.0376503496
131	15.7791026616	40.7883495146	29.1274476987	13.8967762238
132	15.4409125475	40.5615533981	28.958292887	13.9813006993
133	15.4987528517	40.3347572816	28.7609456067	14.0961958042
134	15.5536425856	40.107961165	28.6481757322	13.4503706294
135	15.3296577947	39.9095145631	28.6481757322	13.4243916084
136	14.5420228137	39.7677669903	28.8737154812	13.0884895105
137	13.7262053232	39.3708737864	29.0992552301	12.8371118881
138	13.0794828897	39.0873786408	29.7194895398	12.5575594406
139	12.7709505703	38.8038834951	30.6780334728	12.1912867133
140	12.744243346	38.5770873786	31.3591129707	12.0504125874
141	12.4891254753	38.3786407767	31.5327280335	12.1067622378
142	12.3200304183	38.1801941748	31.5089958159	11.9658881119
143	11.8691102662	38.0100970874	31.7953807531	11.825013986
144	11.4181901141	37.7266019418	32.1336903766	11.7404895105
145	10.967269962	37.5281553398	32.1900753138	11.5996153846
146	10.4599847909	37.386407767	31.4570711297	11.4023916084
147	10.2908897338	37.1596116505	29.9910627615	11.4023916084
148	10.1217946768	37.0745631068	28.6051715481	11.5432657343
149	10.2063422053	37.0178640777	28.0650543933	11.7404895105
150	10.3190722433	37.0178640777	28.7935983264	11.7946433566
151	10.5163498099	36.9611650485	29.5547949791	12.0482167832
152	10.6572623574	36.932815534	30.4243012552	12.020041958
153	10.7699923954	37.187961165	30.1705690377	11.9073426573
154	10.7699923954	37.1596116505	29.775874477	11.7101188811
155	10.8263574144	37.3297087379	29.3529874477	11.4001958042
156	10.7699923954	37.2446601942	28.958292887	11.2874965035
157	10.5727148289	37.2446601942	28.4508284519	11.0620979021
158	10.7981749049	37.3297087379	28.6763682008	10.698020979
159	10.9390874525	37.1029126214	28.7891380753	10.3599230769
160	11.023634981	36.8194174757	28.6763682008	10.0803706294
161	10.9954524715	36.3091262136	28.3380585774	9.96986713286
162	10.7981749049	36.3091262136	28.1407112971	10.307965035
163	10.7418098859	36.1390291262	28.2252887029	10.2234405594
164	10.6839695817	35.8838834951	28.0279414226	9.65994405594
165	10.8530646388	35.6854368932	27.3231297071	9.2633006993
