	VL	GM	SM	BF
0	4072.62815474	16.4008316066	151.133812381	61.4572259367
1	4072.54353842	16.4630286796	153.49277103	61.644356548
2	4072.29029143	16.377554785	156.431157658	61.9753716747
3	4072.14939739	16.1867302569	159.6964131	62.0955508714
4	4072.00859572	15.9959775862	162.937484123	62.0955508714
5	4071.81146519	15.7670726593	166.238090696	62.2941519216
6	4071.83968562	15.3778041903	169.492552879	62.4876734952
7	4071.92422905	15.0457224133	172.710702428	62.4876734952
8	4071.896087	14.9380147193	175.137350939	62.693900543
9	4072.26090742	14.8842291225	176.151818019	62.7782809735
10	4072.17654598	14.9797904348	176.03773509	62.7188742731
11	4072.20464721	15.3017335873	175.771253639	62.8300475572
12	4071.84007456	15.4022118634	175.771253639	62.97031473
13	4071.64334428	15.4575089579	175.851021675	63.1966081447
14	4071.24951483	15.5234860486	175.937031744	63.5495358944
15	4071.08089417	15.8318829852	176.14954934	63.9276919135
16	4070.85605576	16.0741649785	177.059378022	64.1162831783
17	4070.6029664	16.112813641	178.647304206	64.253742535
18	4070.51848306	16.113721905	181.112025993	64.3323736351
19	4070.15211542	15.8254108139	184.045574212	64.3585626531
20	4069.87012579	15.4243671415	187.166740615	64.7813180906
21	4069.7292939	14.8475738525	189.430079353	64.8648197
22	4069.67295005	14.3435453563	191.137290759	64.836997779
23	4069.81392982	13.0318305322	192.510392597	64.9469910996
24	4069.7012826	12.7242342972	193.431672292	65.0043615829
25	4069.50417651	12.5582937747	194.093679447	64.9155341213
26	4069.30712898	12.6262840721	195.001208209	64.7163869804
27	4069.13836945	13.0217193636	196.19581875	64.6897289611
28	4069.05403085	13.253244858	197.816514918	64.7436473798
29	4068.57690624	13.3812369521	199.732512194	64.9469910996
30	4068.63303172	13.4719257475	201.487331968	64.9469910996
31	4068.46430262	13.5770715366	202.858339655	65.0592400105
32	4068.37995004	13.8846768925	204.421998981	65.1712955878
33	4068.15504022	13.9591388893	206.6682496	65.3426651148
34	4067.76237196	14.0115316822	209.828304348	65.7477753135
35	4067.98691418	14.0236426954	214.042398571	65.921260632
36	4067.81804149	13.9254087662	219.096840097	66.1518666616
37	4067.67728455	13.6176846005	225.072746547	66.2644716769
38	4067.53647407	13.2386236784	230.939826926	66.2934915719
39	4067.50830166	13.2050111082	236.313221296	66.3224987691
40	4067.39566846	13.0510949294	240.50544367	66.5883623466
41	4067.14201331	12.8827759336	243.735363643	66.7739377327
42	4066.94491948	12.7726794785	246.437207473	66.8015474038
43	4066.86050618	12.8287014565	248.785439246	66.8291456682
44	4066.86050618	12.8293859239	251.420508804	66.8561385698
45	4066.2985824	12.8103593411	254.115231905	67.0835309444
46	4065.98900921	12.7690505552	256.831082246	67.4466605904
47	4065.87656762	12.7435808763	259.650173251	67.5477018469
48	4065.67961695	12.8862214028	262.13573471	67.5477018469
49	4065.37010375	12.8862214028	264.102604001	67.4675208055
50	4064.78017222	12.8166031731	265.822433318	67.4948467577
51	4064.44191955	12.7369948463	267.357301674	67.7247854943
52	4064.38563878	12.7141854635	268.422702806	67.6963791651
53	4064.18841128	12.8843284019	269.149357799	67.6401178088
54	4064.04757734	13.0090506014	269.965417634	67.6679609112
55	4064.21684051	13.0493006146	270.530601642	67.586159887
56	4064.01912744	13.1540788987	270.8761001	67.4804685547
57	4063.70895191	13.2367073654	270.928486586	67.409044627
58	4063.56810136	13.2367073654	270.719553488	67.2959944408
59	4063.39916194	13.3194825051	271.255574391	67.323390014
60	4063.28657074	13.3194825051	272.209538251	67.2965845289
61	4063.28657074	13.0611086569	273.106388852	67.2435320556
62	4063.48309176	12.9424680736	273.803439111	67.087674534
63	4063.42685617	12.8763747592	273.898603791	67.0589983239
64	4063.3706393	12.8763747592	273.502276229	66.8537626354
65	4063.2862979	12.4921595002	272.824859259	66.8537626354
66	4063.37069776	12.1655996908	271.604516208	66.8261745374
67	4063.20210093	12.0445378797	269.599552637	66.7715588734
68	4062.97682652	11.9593836303	266.978767969	66.8249860481
69	4062.89236001	12.2891212419	263.987032842	66.9598501262
70	4062.72333402	12.4524592113	260.77233894	66.8754015976
71	4062.58249803	12.6965616557	258.01606975	66.84782243
72	4062.52609404	12.8546476436	255.644409913	66.9305258403
73	4062.18753671	13.0325043312	253.624501337	66.8759953969
74	4062.07483395	13.1036188552	251.964608613	66.7668009005
75	4061.99034869	13.1404240356	250.793149918	66.6598104601
76	4061.90589091	13.0933768333	250.008097441	66.6598104601
77	4062.13138066	12.6585045253	249.296322248	66.6598104601
78	4062.13138066	12.2081512415	248.191456966	66.6598104601
79	4062.38403294	11.9559974874	246.498330171	66.5153834813
80	4062.49657119	11.7294361261	244.680721343	66.3004185196
81	4062.52471014	11.5722088626	243.196660785	66.1138530888
82	4062.46844179	11.218903013	241.494999496	65.9267597007
83	4062.13175104	10.9062933938	239.176633327	65.7306763862
84	4062.41242606	10.831066746	236.095178828	65.2209762561
85	4062.38428634	10.7968268808	232.481618332	64.9919553191
86	4062.38428634	11.4825755626	227.925159184	64.7045392279
87	4062.29983675	11.9512226204	222.280083454	64.5090499129
88	4062.01856912	12.5450792565	216.716332604	64.5394744349
89	4061.87765995	12.9728128273	211.342365736	64.6647140869
90	4061.79317059	13.3868865594	207.162492371	64.5370132124
91	4061.73683362	13.2321734436	204.528088686	64.2857923586
92	4061.65239982	13.2869189868	203.08899324	64.4065929457
93	4061.48361467	13.2656436415	202.617820998	64.4358332884
94	4061.53993566	13.2656436415	202.072283473	64.2768746251
95	4061.76450995	13.2287443247	201.624318824	63.7976223034
96	4061.76450995	13.1855276136	201.667040114	63.6756664344
97	4061.76450995	13.2668571428	201.449426669	63.6479486208
98	4061.59590493	13.1159359186	201.449426669	63.5918522901
99	4061.37132132	13.0941592338	201.698213461	63.5918522901
100	4061.68006697	13.1065968497	202.023204217	63.5066769445
101	4061.56754509	13.1065968497	201.487020916	63.2614083397
102	4061.48313701	13.1832335447	201.103157595	63.1459636657
103	4061.42683473	13.5342461955	200.368665527	63.1167549235
104	4061.62419634	13.9316430899	199.2340586	63.0290474817
105	4061.20141311	14.3404840495	198.968634759	63.1167549235
106	4060.97587172	14.5669910218	199.592192543	63.3525551156
107	4060.91956242	14.7050490288	201.752795582	63.4822855489
108	4060.8914026	14.6803794757	205.81780467	63.3988421173
109	4060.80700971	14.6298485715	210.438751035	63.3134071162
110	4060.5260287	14.5292668354	215.151523984	63.3418982537
