	VL	GM	SM	BF
0	39.8948803741	52.2446972668	28.2709271352	27.9764790926
1	40.1663871958	52.1616183788	27.9937870585	27.7268762705
2	39.8521212467	52.0807217672	27.8133215526	27.8614360863
3	38.7022652955	51.830297105	27.8773600449	27.9844281622
4	37.1138929143	51.6696729453	27.818778301	27.6916793081
5	36.1615962944	51.9510099137	27.7554380768	27.3413713471
6	35.5772489938	51.8411312497	27.4016762893	27.2689078335
7	35.7661514047	51.757404578	27.0225897245	27.2655523663
8	35.714922696	51.702288709	26.9103964617	27.0916728209
9	35.0880591381	51.5365874407	26.5502639874	26.6585184766
10	33.162678403	51.2357237415	26.5414000366	26.2139029058
11	30.9686560246	51.1486492316	26.5744811774	26.1280573802
12	28.92452639	51.2427820555	26.4419261355	26.2445413612
13	27.0452690752	50.9748811961	26.1666861445	26.3536754057
14	26.5576697019	50.9748811961	26.0635339212	26.368038047
15	27.102261039	50.8944669817	26.1212562883	26.3314168633
16	29.1952892016	50.7823023064	25.5258190386	26.2890591164
17	31.539593371	50.503963897	25.2350845887	26.0454219341
18	33.0845306064	50.6650915851	24.6718190246	25.5640872301
19	34.0499296267	50.4761075846	23.8741022769	25.2512783517
20	34.5697019288	50.6928440487	23.3302045547	24.8739832344
21	34.6378394507	50.3646659795	23.0084681494	24.8064998493
22	34.7228233266	50.2545173632	22.8574800028	24.7924802736
23	34.6987372822	50.1184956816	22.4979181915	24.6096745452
24	34.8759815941	49.7566188163	22.4832732195	24.0848865696
25	35.2953688399	49.418098556	22.6888201053	23.3633127661
26	35.9648476101	49.1835326609	22.6770214519	22.8928338799
27	36.8449666576	49.247996019	22.6782690565	21.432160956
28	37.7824354652	49.2186325662	22.6893350645	18.6505728767
29	38.3621673498	49.109186573	22.7162845768	16.902512622
30	38.8720184042	48.9084404878	22.7481672737	16.4983124975
31	39.1504865972	48.7727843414	22.7940953572	16.5171570339
32	39.3573210449	48.7464321792	23.0307177584	16.560168092
33	39.5841742467	48.4531040873	23.0209083312	16.3980591417
34	39.8577976197	48.2812458411	23.1932631142	16.12603043
35	39.6061237252	48.2812458411	23.4895234459	16.099910245
36	39.0011485906	48.1137851477	23.549693888	16.4195475503
37	38.213779904	47.9507680803	23.4555000908	17.1420897044
38	37.484832833	47.6694052294	23.6552952699	18.434729535
39	36.9610692057	47.2369677863	24.1940573641	19.0583548674
40	36.7657915057	47.1331515369	23.0398817604	19.1915011524
41	36.7458003194	47.0256881284	21.0328083132	19.2661320598
42	36.7730915798	47.089692002	19.7459903773	19.3406349237
43	36.6972197232	46.7130412339	19.7115870168	19.2818176033
44	36.5604128118	46.5399381455	19.8983152795	19.1574269025
45	36.1068807415	46.4207149748	19.2554063647	19.1074762601
46	35.4903280175	46.3349991222	18.0046540696	19.1237499003
47	34.7533165748	46.3063919124	17.0202060006	19.2095952851
48	34.213623609	46.3323972524	16.4741111807	19.2419832059
49	33.6191808386	46.0071151226	16.4456572224	19.2510222348
50	33.0897953603	46.1683126223	16.8437648329	18.8808035505
51	32.8000195403	46.1987450165	17.3004514668	18.6451989308
52	32.7308386443	46.0891029556	17.8792538962	18.3639065015
53	32.7113881294	46.0359298302	18.439897473	18.1967493328
54	32.6833898455	46.0088835185	19.0226262359	18.2237681759
55	32.6370570325	45.7945488863	19.3425477571	18.3125241445
56	32.600437016	45.6338139971	19.3436853949	18.3213606343
57	32.4119440482	45.7963254903	19.333572983	18.3338481513
58	32.3824284324	45.7375407679	19.5440883314	18.4101076331
59	32.3972377275	45.7665035501	19.7739453594	18.6109835757
60	32.5090102516	45.7928154891	19.7640530941	18.7027663199
61	32.5764475088	45.6479012867	19.8247598318	18.6420884928
62	32.5948877489	45.2458675766	20.0675740282	18.4646802158
63	32.6169385401	45.3699278581	20.3253993977	18.3205855279
64	32.5345830502	45.165018232	20.3490030786	18.2999079514
65	32.0077210509	44.9841942896	20.278109612	18.3384151612
66	30.1188419038	44.7730542644	20.2603086947	18.1576994535
67	27.607343751	44.6563128833	20.1217535276	18.2840282161
68	25.5504878473	44.6275300473	20.0759636211	18.4643027442
69	24.2788849366	44.6005306572	20.1956308451	18.5694873957
70	23.5176249592	44.2044033499	20.43286287	18.5867454224
71	23.350652886	44.3177792105	20.4310717	18.7235761784
72	23.1382105774	44.2606624355	20.5553897788	18.9087252325
73	23.0968470341	44.1534887112	20.6044297069	18.8787012434
74	22.7811741968	44.2125617815	20.6474275947	18.7593186856
75	22.0716961867	44.1553089035	20.4704527611	18.675668209
76	21.0105298081	44.2071080518	20.4861313027	17.9462103226
77	19.4257833414	43.9118038858	20.507765532	17.4148988917
78	17.532831966	43.6807653415	20.603568937	17.3046632483
79	16.5411326035	43.7101716197	20.678145896	17.4536760978
80	15.6519885818	43.8999282317	20.6292812068	17.5646061362
81	15.2921758015	43.5980490163	20.6661551021	17.5024568857
82	15.2921758015	43.5980490163	20.6352120166	17.3895895974
83	14.6864481907	43.5704116897	21.0007838814	17.2802212536
84	13.9213521197	43.5704116897	21.0709827664	18.217022427
85	14.0802093375	43.3847714766	20.9856396472	18.3612275376
86	15.4975061085	43.3569981994	21.9383352566	18.1840693383
87	16.7122929175	43.6045005075	22.6855304332	17.5891508597
88	17.6123694824	43.9475694181	23.0432175956	16.4334350258
89	17.8349691802	44.0625406395	22.476887234	15.7031696343
90	17.8518421162	44.234437177	22.3294133263	15.3324583073
91	17.8941752245	44.3486647173	22.5447001211	15.2581980777
92	18.0646564756	44.1262666367	22.7618569647	15.4075483004
