	VL	GM	SM	BF
0	50.7014743317	207.836664803	1730.12440674	30.9942355372
1	49.097974581	214.250351922	1657.86800501	29.8434181819
2	49.1906212324	217.288755213	1661.44674189	29.1190942149
3	47.6029585178	215.444820167	1681.55583482	30.0975669422
4	46.7675549441	212.361067572	1684.27854667	30.0975669422
5	45.5314743944	208.403531089	1678.31082936	30.3588636364
6	46.187919479	200.493316976	1682.72350029	29.9863768595
7	47.1975304334	193.723313907	1711.12222911	29.9863768595
8	47.1793178438	192.099646903	1701.03927997	31.2039082645
9	39.057294665	192.980719073	1625.52367144	31.2253520661
10	39.5300301476	198.795147546	1643.11439397	30.8155371901
11	39.2156650129	212.944130038	1683.93850355	30.6757553719
12	49.3553264006	217.064438126	1683.93850355	30.6638421488
13	51.3785075657	219.530306469	1673.56837182	30.879868595
14	52.4205844391	224.000452036	1665.38209011	32.9194123967
15	54.1974997168	237.423035873	1653.61628255	23.8463016529
16	56.4780326951	248.793563755	1637.02044255	22.8066743801
17	57.8534791462	252.498439837	1705.9466308	22.4135380165
18	57.3332325594	254.624188408	1865.80003388	21.6820661156
19	52.8553110371	246.830586789	2081.42997628	21.4350652892
20	48.0408525293	235.298906919	2322.01719022	14.292690909
21	46.9599749205	219.102727327	2479.85400347	14.1759413222
22	46.4373527783	205.111657587	2583.17898534	14.2164462809
23	48.7218450137	169.81694302	2642.57607659	13.8860528925
24	48.0060110499	161.897821009	2674.29791822	14.0290115702
25	46.9694771382	157.609072653	2689.59512487	13.4547942148
26	46.4096379644	159.183341309	2716.22973207	13.1712595041
27	47.0557889762	168.965833783	2781.28763396	13.3626652892
28	47.7138177631	174.808605571	2887.08759326	13.0576867768
29	57.9041576584	177.996013714	3036.61583551	13.8860528925
30	56.649864522	180.248092487	3166.86970784	13.8860528925
31	57.5430732706	182.754451278	3274.2957202	13.8479305785
32	58.0870754086	190.134240509	3417.55170536	13.7843933884
33	59.7848055154	189.385167203	3633.46251864	14.1179636363
34	70.2720898118	190.305110204	3910.0075174	19.2906851239
35	65.5843275806	189.475865809	4243.06358017	19.9197033057
36	65.3087631793	186.107060454	4626.32925823	20.6694421487
37	64.8376114008	175.24590242	5077.1364942	20.6885033057
38	63.930941171	162.768365662	5297.70534596	20.808429752
39	63.6656708415	161.677552966	5453.23128613	20.9267677685
40	63.063863528	156.812220617	5452.85968448	22.6351239669
41	59.8354840283	151.597050789	5358.13361204	24.8938710743
42	58.8987234326	147.673526282	5209.85903225	24.8279512396
43	58.9486100915	151.677221878	4974.1760133	24.7604429751
44	58.9486100915	149.789557146	4808.4148541	24.6119247933
45	66.0436015786	149.519890756	4695.25860233	24.9550256197
46	65.7561594009	148.894718224	4602.98857221	20.8632305784
47	66.7127162895	148.458231184	4546.92169445	19.3192768594
48	66.9399777347	150.80991646	4512.80692756	19.3192768594
49	67.1403162237	150.80991646	4447.13600129	19.8839636363
50	75.3050994022	149.896451931	4378.67924612	19.776744628
51	70.6300067936	148.920632111	4326.41832663	20.4502388429
52	70.6205045727	149.753925551	4313.66868202	20.411322314
53	68.5973234049	155.810486909	4308.96093887	20.4081454545
54	67.5006087618	159.928365571	4308.29820981	20.3708173553
55	70.949914892	161.321237015	4304.50408599	20.7163008264
56	64.9801447076	164.735391673	4299.75531675	21.6312363636
57	59.7974751406	167.400473025	4298.6065864	23.3729495867
58	58.5661457037	167.400473025	4318.28253856	23.2903512396
59	57.7489547185	168.615186495	4209.87663396	23.1942512396
60	57.4892273516	168.615186495	3852.61439258	23.3697727272
61	57.4892273516	162.940854975	3475.46160106	23.7954719008
62	53.7698997809	160.472557205	3180.96137879	25.510976033
63	54.1278167628	159.211684624	3127.68348578	25.43393719
64	54.6377692773	159.211684624	3421.95096393	24.2942388429
65	55.2720425132	151.473959824	3919.72675453	24.2942388429
66	55.1128803161	145.351803938	4753.95193844	24.3633355372
67	57.0798400115	143.110252682	6053.46498809	24.5761851239
68	55.8128772465	141.782165956	7430.68854178	24.2044925619
69	55.430412862	150.378288274	8788.28900384	23.4460173553
70	53.9100575441	154.589294968	9856.01887942	23.4293388429
71	52.7975058643	160.990025143	10599.884902	23.5000239669
72	51.7871030597	165.140296163	11161.5122698	23.2832033058
73	44.6414330621	169.824231301	11626.3259687	23.5087603305
74	43.4758273165	171.696509662	11979.6197254	23.9408132231
75	42.9413274001	172.670709864	12165.437117	24.6651371901
76	42.63012967	171.358819317	12214.175316	24.6651371901
77	45.6455010541	159.853053335	12210.9058527	24.6651371901
78	45.6455010541	148.114062367	12187.1138797	24.6651371901
79	40.7209751548	141.392647837	12145.5071187	24.1449264463
80	40.5499351814	135.148210795	12128.198056	25.453792562
81	40.542808516	130.516103432	12089.05286	26.7936330579
82	40.6346633164	120.312510289	12004.6866628	28.0556404959
83	48.6545376219	110.882284721	11864.4129584	28.1279140496
84	42.7789977945	107.902187677	11682.5790418	23.9289
85	42.7797896461	106.084976326	11369.7709294	23.3824801653
86	42.7797896461	118.624058566	10938.1410209	22.5564966943
87	42.5351074612	126.087258122	10319.0266416	22.7177223141
88	43.5961887793	136.958943673	9709.38770988	23.0171413224
89	41.8897483056	145.493520509	9113.14695045	24.6754619835
90	41.3219906167	153.89690829	8675.56825973	22.6994553719
91	40.856381801	151.467481352	8376.48179463	19.3065694215
92	40.7399795967	152.082126367	8199.62781345	20.3803479339
93	41.1770817502	151.797883415	8141.0938479	20.5256892562
94	41.512826884	151.797883415	8062.84763788	21.7741950414
95	37.0911268327	149.973383784	7993.77470249	25.1766115703
96	37.0911268327	147.680004754	8000.85091303	23.9566975207
97	37.0911268327	144.327395579	7963.8761547	24.0051446282
98	38.9915709802	138.063523121	7963.8761547	24.0178520662
99	43.3372532656	136.826135001	8003.27066304	24.0178520662
100	36.90029056	137.486129319	8053.18362818	23.9058677687
101	37.2043616246	137.486129319	7979.02424731	21.3135504133
102	37.2970082772	137.814101956	7925.86390982	20.9323272728
103	37.1132986761	144.409186286	7833.27119376	20.7933396695
104	40.2229004154	152.069169424	7692.17381181	20.3668462811
105	34.6522235043	159.471633306	7656.7896032	20.7933396695
106	31.2187544076	163.669683056	7744.49705939	22.1784504133
107	30.9780314822	166.112066939	8076.04856942	20.8084297521
108	30.8157018775	166.189808601	8689.58419021	20.9204140496
109	31.0318773998	159.795556898	9396.20720695	20.7798380166
110	34.4210027959	153.02474402	10077.9699946	20.828285124
111	33.4826584983	147.100991334	10705.3116817	20.9386809918
112	34.0884250707	142.821150877	11210.9999838	20.9386809918
113	34.2079946822	141.178858266	11454.5813129	21.1110256199
114	35.0323123322	134.529516735	11360.2015953	21.9115942149
115	36.2676010272	136.465770005	11095.3663877	22.6549793389
116	36.1725788193	139.079833391	10591.2189307	22.5723809918
117	35.3957722729	140.262154501	9716.5546512	28.5917355372
118	35.6974677812	140.262154501	8682.29022583	28.849855372
119	35.6024455744	147.149579873	7561.33137296	28.3923876034
120	35.3870619046	148.697934642	6581.15273886	28.3733264463
121	42.3046786072	148.697934642	5848.83950381	28.3288504133
122	39.9378337891	149.267230354	5245.59906325	27.8205528926
123	39.3874968378	150.481943824	4719.23361474	27.8801190083
124	38.7603502685	151.690178821	4300.57583844	28.163653719
125	38.7603502685	158.832694021	4021.21976396	28.4241561984
126	41.7812646109	159.879777032	3912.26000722	29.2437859505
127	39.5458671809	158.130589636	3874.47498373	30.9021066116
128	39.2354613037	156.374923768	3840.47461649	30.8068008265
129	39.2758457421	157.132095164	3840.47461649	30.9592900827
130	38.6296947313	159.15094895	3840.47461649	31.1776991736
131	38.2472303467	162.483312901	3874.15308676	31.0387115703
132	43.6310302482	163.076093074	3883.45732926	32.0934289256
133	38.2218910915	163.662394775	3816.24950277	34.8509429752
134	38.3485873678	163.662394775	3667.73192232	35.1749826446
135	38.1522081384	163.662394775	3541.07887783	35.1749826446
136	37.4894282414	155.208798837	3350.01645916	35.1042975207
137	37.2875060501	155.208798837	3096.93364676	35.2822016529
138	42.063955675	152.247327399	2816.8832847	33.5643148761
139	41.2364706183	148.437985959	2537.90827942	29.8338876033
140	40.7653188399	144.602730632	2345.72079929	27.9158586777
141	40.0391908044	154.605491148	2289.04168612	27.2614256199
142	39.8966574931	155.745702191	2291.95769395	24.7199380166
143	45.5322662462	156.940980245	2302.58029389	25.7174719008
144	44.0301235153	156.138459546	2333.53920815	25.812777686
145	44.3128145829	158.541162789	2389.71890764	22.6740404959
146	44.3436968004	164.657650011	2441.72735893	22.1784504133
147	44.3603256867	164.387983621	2481.61733612	22.7145454546
148	43.9287664954	162.094604591	2487.98663569	23.2109297521
149	46.9694771344	160.479035677	2475.66855392	23.6676033058
150	47.3693622566	156.961225469	2469.71977172	23.6676033058
151	47.8191340378	156.961225469	2500.30313952	23.6874586777
152	47.7835007101	157.941904144	2540.33197424	23.8335942149
153	47.6449266558	157.941904144	2543.30163156	23.38486281
154	41.3734609633	155.859075448	2525.38901205	23.5087603306
155	42.3173482236	153.931730077	2524.43278871	29.8624793389
156	41.4803609473	149.187059265	2521.48601131	26.5339247934
157	40.8350017872	147.333406511	2460.32558742	26.5458380166
158	39.7541241781	147.867880438	2302.66471295	27.222509091
159	40.1120411601	149.248604748	2082.71204141	27.3654677686
160	43.3625925081	153.947926256	1860.71911116	27.4766578513
161	42.9888384914	157.660900428	1658.75479959	37.2836231405
162	43.1907606821	160.764088438	1508.35948683	37.8046280991
163	43.3340858452	166.342052689	1458.54119727	38.6186983471
164	43.6310302435	168.926962952	1444.76826745	39.4002057851
165	43.4481124951	166.400358936	1441.67237602	39.6225859504
166	44.1259375761	164.993720738	1440.90234798	39.1103173553
167	46.0453861683	163.257490286	1438.00843112	36.3154752066
168	47.9355362462	163.03155358	1429.27697587	37.0898347107
169	50.9509076292	167.406951497	1435.16816376	37.427376033
170	54.3376574741	165.70635264	1445.16669384	37.7252066115
171	60.6526750073	166.435990531	1453.7632364	37.9833264462
172	67.0547962372	167.164008803	1467.0012492	37.2018190082
173	74.3715062086	165.787333538	1473.09598958	37.3948132231
174	82.4864027249	167.487932395	1483.06453907	37.3606619834
175	89.9511889723	158.827025358	1618.90190366	37.3606619834
176	87.3737115978	159.669226697	1825.3143895	37.3606619834
177	89.6376156899	161.152796748	2053.45728757	37.1184264462
178	91.0035599207	165.440735295	2348.20761116	37.1184264462
179	94.0125964874	173.188987611	2628.54199996	37.2995074379
180	96.3057990948	178.446267507	2753.92007999	37.3479545454
181	101.456002741	176.243587082	2925.3964883	37.843544628
182	94.9754881954	177.290670093	3179.03946454	34.8509429751
183	95.1774103858	178.323176542	3593.668006	33.9415669421
184	95.3935859089	180.416532754	4102.4506216	32.7216528925
185	98.3392743388	180.416532754	4698.44049075	32.7383314049
