	VL	GM	SM	BF
0	277.921098493	36.6779508587	138.710631329	26.968819092
1	277.759057357	37.0311265624	134.476454023	26.3666828147
2	278.316320774	37.0343967078	153.930782186	26.3282485842
3	279.44191383	44.3104702332	156.334758603	26.4267362998
4	276.794714992	47.7024285542	158.960457143	26.7125908889
5	272.893871077	49.0816123786	160.219266613	24.4449712913
6	265.194150598	48.0098222222	151.630117152	23.409649208
7	261.053011537	48.123459775	156.521513796	23.4360727415
8	255.601315392	39.821378129	167.456626358	23.564186843
9	224.335280736	39.4224203896	162.062977451	23.480912677
10	218.182460264	39.9971484445	155.47647942	23.3359835996
11	211.677891963	44.1829345624	151.375812209	23.1318017502
12	208.46868704	37.9508549575	151.18746761	23.1534210049
13	190.77853774	37.8592908861	152.436740644	23.3199693369
14	196.833343086	37.851933059	158.031449397	19.9377570557
15	193.881032646	37.9246937942	162.794104163	22.0228140586
16	191.168226909	37.9246937942	168.003381987	21.7793972656
17	189.86557427	37.9140658217	168.410269896	21.8082229385
18	188.407204053	38.1863054266	172.644447202	22.1669424229
19	187.513211253	37.7015063704	172.644447202	22.2990600901
20	186.984403841	37.7015063704	176.840478767	22.4199677734
21	181.090849186	37.7898002963	182.943797406	20.4470106094
22	181.486071467	37.6197527353	187.549895692	16.5275198147
23	182.210118686	37.851933059	186.508040127	17.4843720107
24	184.818585741	37.9140658217	190.820893025	17.4307242307
25	187.370140788	32.6107075117	189.146453914	17.2385530784
26	191.948395692	32.1422591825	183.763930848	17.2385530784
27	191.500213625	32.3940603786	178.223261896	17.3754750244
28	192.79021915	32.3057664527	176.824584708	17.2441580703
29	192.821836933	32.0474249657	176.351736454	18.2890887112
30	191.433025837	31.8381356598	177.953062894	18.2890887112
31	187.338523005	31.6026851907	188.395459628	18.4932705605
32	181.265537434	35.1548806365	188.395459628	18.2890887112
33	174.979922276	38.587715775	190.497448925	17.7958494202
34	167.448566488	38.7054410096	190.808972481	17.6669346055
35	141.496690624	39.0815077311	198.77507483	17.5556354797
36	126.341497034	39.7886766749	219.891126857	17.8847285781
37	115.3645934	39.9480962634	231.233922032	18.929659219
38	106.448378739	39.3635577723	223.785171302	17.9688034573
39	100.626754539	39.5205247517	223.330601216	17.9231628086
40	96.7314437363	44.3930414046	236.093530558	18.0672911729
41	96.1093638659	46.7990508861	245.96374117	18.0672911729
42	94.3008267077	46.852190749	251.304939683	18.65661604
43	98.8656440541	46.6191928889	254.115009306	15.0862361721
44	92.7104522487	46.5374392538	256.813025814	15.3937100159
45	83.2338123932	46.5374392538	257.363754957	15.7708459023
46	74.1784794894	46.0272965706	253.141498195	15.893355012
47	69.0224096105	41.367339369	252.023351148	15.7268066799
48	66.2202836378	43.7087634787	249.925335365	15.5538526428
49	56.7136068889	43.7087634787	249.63288468	15.6907745889
50	56.0749276827	43.7087634787	249.854606803	17.5644433242
51	63.5232867917	43.6858724609	249.854606803	18.7815272891
52	85.6051460797	43.6858724609	234.298296599	19.3324179258
53	118.689993673	37.5976792537	228.748091211	19.4261013625
54	178.928192864	32.9213713251	219.567682757	19.4261013625
55	288.718571212	32.2142023813	212.379594594	19.518183373
56	481.277190105	32.1651502002	213.457211791	19.6887352708
57	808.748096419	32.1790483182	207.170316771	19.9505684658
58	1109.23085405	32.1790483182	198.110703166	20.3989678213
59	1310.34840666	31.9501381399	200.170573206	20.3989678213
60	1327.81723148	30.3305986282	201.438124408	20.3989678213
61	1437.02505219	25.0403208998	207.388860082	20.4670284377
62	1694.49497852	25.7859140521	207.357866667	20.4670284377
63	1805.53663061	25.7491249163	206.292170014	20.5631140139
64	1810.57334336	25.874207978	199.3599762	16.8542107737
65	1810.02003217	26.0311749574	193.688181261	13.5320519775
66	1812.14474715	25.8545871056	191.540099193	13.9035828721
67	1813.29247266	26.4064241426	191.046588662	14.0453090969
68	1811.18989012	29.4509295143	187.334531193	14.0453090969
69	1814.82988733	28.9407868312	186.917312145	13.9035828721
70	1827.91569706	31.8021640603	181.768431746	13.8523372314
71	1836.75602904	31.3320806584	174.678886748	14.1373911074
72	1837.9171921	30.9592840822	168.27119688	14.0773376223
73	1844.83753424	29.9905035061	163.731853642	13.695397457
74	1896.34053058	29.3495550068	156.887077152	13.7122124329
75	1984.45533814	31.2593199231	156.655023891	13.9932627432
76	2001.14952729	38.0489593195	156.575553596	14.0925511719
77	2111.78647177	37.0679156981	156.573169488	14.259900217
78	2316.44205424	37.0679156981	156.573169488	14.5121248545
79	2546.70883097	36.8578088559	156.575553596	22.054842584
80	2670.91217546	36.986162063	155.774493025	22.0396290344
81	2731.27368401	36.986162063	150.233824073	21.9307320481
82	2753.27966062	33.6530663593	149.75064468	21.8594685791
83	2760.33121655	29.2678013717	145.430639456	21.8762835549
84	2763.47323369	29.4280384965	140.07513629	21.8786856943
85	2761.66785831	29.4313086419	129.082805116	21.8786856943
86	2765.82954893	29.2645312263	103.251780499	22.1997716614
87	2763.03374651	29.2645312263	76.7595630294	22.1997716614
88	2763.03374651	29.5817353305	69.6127994195	22.1997716614
89	2764.20439491	29.101023956	71.205384127	22.6673881321
90	2763.27087988	25.7523950617	64.7690849524	22.8203243408
91	2763.27087988	24.2612087572	59.9055029116	23.2695244094
92	2763.27087988	24.2881874567	56.8919893333	23.041321166
93	2756.12921326	24.2881874567	55.4829810068	22.5648968508
94	2756.8500987	24.2881874567	58.1253683084	21.9947890989
95	2756.8500987	24.7067660685	57.2980825397	21.8594685791
96	2758.90525456	24.9552971193	57.079539229	21.8026179465
97	2764.5039734	25.1057238079	56.9515920544	21.8346464719
98	2777.4048191	22.6653777997	56.8085455238	21.9395398926
99	2775.52039926	22.7471314348	55.8270873832	21.88268926
100	2779.41175784	22.7348683895	55.5465572426	20.7937193967
101	2780.62588069	22.8591339149	56.1068228209	21.3790406982
102	2767.36933494	23.1820607736	54.9052319637	20.4694305771
103	2740.78431298	25.2823116598	54.4856288073	20.7392709036
104	2680.2678773	26.1088409108	54.4975493515	20.7392709036
105	2566.61775816	26.1480826557	55.2167555193	20.7392709036
106	2345.0403385	26.0377152483	55.784968127	21.514361218
107	1958.49160561	25.874207978	58.2747724626	26.4723769485
108	1584.63266972	25.7393144801	57.8742421769	27.0833210703
109	1300.61645321	25.7728334705	62.1966315102	27.4836776377
110	1244.75178378	25.5897053278	96.2297852517	27.8560092454
111	1205.4943546	26.7138178107	121.688094186	28.2851914856
112	1035.51715596	26.1644333827	150.821904254	28.233945845
113	967.131844667	26.0998480109	159.039132735	30.2157108535
114	974.795995142	26.0998480109	159.675689796	31.5480975098
115	971.137027264	26.1971348367	160.193041415	31.7050372842
116	953.987542043	26.1415423649	171.672525497	31.92363197
117	937.558942264	26.593639967	212.126084354	32.0317282432
118	932.104874785	23.531966332	297.454134567	32.1158031223
119	932.54752374	23.5156156049	356.762020862	32.8460535012
120	940.234597107	20.9256604444	367.07329161	33.0382246536
121	939.996673294	20.8806959451	368.951969379	37.0121639414
122	939.946084842	20.8479944911	378.768140191	37.093035968
123	916.622437147	20.8994992812	389.424312018	37.0538010244
124	823.24880191	28.6137722908	390.397028426	36.9841389817
125	673.620017631	28.0488546721	391.980076698	37.6823608352
126	625.24164865	21.4758624088	395.260610467	37.6823608352
127	582.039110662	21.4194524005	401.146975202	37.2403671848
128	453.00377856	21.2853764389	401.722340136	37.9449947434
129	285.83186767	21.1447601865	406.736121034	28.8168650071
130	197.422224284	21.0442032153	424.245016381	29.2332358372
131	158.949706556	22.0252468367	446.190738286	30.0459596689
132	165.696941338	23.4379496516	473.960838095	30.4399105313
133	170.300490468	21.9598439286	497.563515646	30.658505217
134	173.114473109	21.9598439286	500.717691646	30.658505217
135	183.379976638	22.7446788258	502.434250014	31.3911577354
136	191.148465795	22.9923923402	503.170939646	31.228612969
137	189.603146676	23.4632932784	551.72728976	30.2701593467
138	185.33474604	23.4632932784	575.631954431	30.6320816836
139	176.829562551	24.3266116653	581.707458467	29.9018313047
140	171.985718275	24.3862918189	581.707458467	29.6752294875
141	168.159966594	24.4647753086	580.474079492	30.123628843
142	160.034196495	24.1573816406	580.133151927	30.0619739316
143	160.793023275	24.0355687243	586.884948172	29.8866177551
144	159.559929758	23.8687913086	605.598613188	30.0619739316
145	157.871540173	22.8386955062	621.6961161	29.7897314658
146	154.244190077	24.2195144033	648.433102077	29.9666890686
147	146.646436946	24.2325949849	671.574851918	30.2221165586
148	129.665316418	24.1173223594	673.769026757	31.0748760471
149	129.665316418	24.2775594842	680.12665034	31.0748760471
150	123.597073514	24.31434862	724.871605116	30.2861736094
151	113.884090735	24.3012680384	750.333887565	28.5662417959
152	105.584422832	29.7493302825	756.035881215	28.6343024124
153	109.575377426	30.3109777558	756.776544363	28.4101027346
154	140.38374468	28.9865688669	756.605683229	28.2883943381
155	170.072842434	29.0429788751	756.39826576	29.0690896445
156	178.612015039	29.3299341344	755.699721868	29.0690896445
157	192.334132638	29.4223157421	787.58956176	24.4185477578
158	199.748502631	29.4313086419	843.780623093	23.9285113193
159	207.609473801	29.4313086419	844.855856181	23.861251416
160	212.790837906	29.938998716	799.742159238	24.3224621816
161	212.990029936	28.2998383319	764.981057596	24.1206824717
162	220.604382403	28.2998383319	738.736787447	24.1206824717
163	219.746750053	28.5524570644	736.976520417	21.8402514639
164	219.629764258	28.7944478244	765.333905705	21.347812886
165	219.506454906	28.9538674128	819.319666358	21.0619582969
166	218.924687708	29.1860477366	835.976640145	20.3389143362
167	218.317626285	28.4183811028	817.70244586	19.8969206858
168	218.317626285	29.9676124883	745.720636953	19.0281469346
169	202.353807908	30.3870086364	690.174874413	19.5574183167
170	202.360921909	30.5464282249	688.956594794	21.1356239053
171	195.116497497	30.6911321591	695.285609071	17.8847285781
172	188.675955204	30.490835753	696.815412245	18.4612420352
173	183.959372502	30.490835753	681.716056236	18.7975415518
174	174.628174446	21.1651985953	679.340689125	20.034643345
175	166.803563725	20.2781716543	678.641350531	19.9986112539
176	163.02207694	20.065612203	676.530619501	19.8929171201
177	164.198258449	20.0100197311	672.24637591	21.4022613792
178	163.498715011	19.9388940686	673.555251665	21.9395398926
179	163.154871627	19.8661333333	672.875780644	21.5720125637
180	162.693252002	20.128562502	657.585695928	21.3662292881
181	162.85055047	20.128562502	631.79202235	20.8697871445
182	161.251481121	19.3437276049	602.292648926	20.8697871445
183	161.251481121	19.3298294869	573.000692971	21.0787732727
184	161.586629615	19.3142962963	563.285449433	23.6538667141
185	161.567658946	18.7673644773	561.394851121	23.1798445383
186	162.831579801	18.6635373607	559.780014731	22.8171214883
187	163.55562702	18.7420208504	514.808569615	22.6994166575
188	163.55562702	26.0998480109	494.582584889	22.3599142883
189	162.831579801	26.0998480109	488.106550567	22.3599142883
