	VL	GM	SM	BF
0	1565.77931613	23.9734174379	666.258683091	746.98852327
1	1579.53261566	24.139782298	640.733190154	736.05046683
2	1534.78514846	24.5327891412	624.530880532	741.234910303
3	1413.29528652	24.9016851352	635.573249312	739.270203888
4	1253.32382595	25.7986087283	640.246763199	709.365387704
5	1146.60390846	22.7839488735	642.528677887	680.305196823
6	1070.09820138	23.0989973041	634.842019248	672.124873751
7	1062.54008182	23.1978517862	624.884573334	674.303911774
8	1062.1842561	23.336087322	625.103147538	675.637530674
9	1042.56062642	23.7122165708	624.518958303	664.932857542
10	952.694775464	24.6935281364	624.55313536	653.791582984
11	849.553765791	24.4451863888	633.210263464	656.365943753
12	757.162187616	25.4168536148	635.49933149	665.00350759
13	674.694016943	29.7399288905	630.947424343	672.890910797
14	664.631615018	29.7399288905	636.511131351	673.90938285
15	707.258424466	30.1618687528	647.918320347	669.845020489
16	838.8781999	30.2197347911	628.854675692	667.066647781
17	989.875386318	27.7242618908	623.980868353	649.691498688
18	1093.23084453	24.0505721557	602.950055863	617.151197535
19	1159.38901256	24.9113294749	567.982157319	594.512222892
20	1194.21545502	26.8635045716	543.799902216	568.28359071
21	1197.22726559	33.569535451	529.350160301	562.501400195
22	1199.70533758	33.8202882835	522.451958427	569.303650405
23	1197.75465014	34.2984867942	505.578824702	562.521245715
24	1211.41581622	31.9066905457	504.470057377	542.338352545
25	1243.02711914	29.0688435856	512.020007787	514.075157721
26	1292.56870253	30.9422565746	509.781807939	495.106810335
27	1357.5458151	31.7427367706	508.701653964	436.918953807
28	1426.83016625	31.6245936092	508.657144308	334.417640232
29	1468.86207957	31.9396420397	509.161852015	277.427659252
30	1504.69881292	31.5852125553	510.160934831	265.613224678
31	1523.09611466	32.0875219153	511.629753481	263.548496846
32	1536.12584894	32.263531115	519.355358069	264.624917815
33	1550.13648672	31.1222842492	518.140880311	260.13586134
34	1565.33532824	30.8425983975	520.054795522	253.467766841
35	1531.13793481	30.8425983975	523.67915323	255.530907032
36	1465.18309577	30.9872634932	515.784252985	268.836137019
37	1376.75643278	31.5562795362	500.502339465	293.812913841
38	1295.01818138	31.5723534357	502.505273988	338.508198679
39	1230.44296126	27.9492964841	520.813844121	360.824088267
40	1197.03982168	28.7851392591	476.711133484	365.555260078
41	1181.96408951	29.2737858045	402.514331642	368.038331458
42	1176.57904846	29.9971112828	359.384474916	370.286431889
43	1176.19542385	36.8895993967	358.337703183	368.336014248
44	1171.28614086	36.4748927891	357.139121731	364.154166413
45	1163.39443468	35.8447959279	321.112529224	362.429987693
46	1138.56605958	35.7170084268	265.814845272	364.3867559
47	1105.25267068	35.6711978131	224.695076407	368.432066562
48	1081.27255868	35.475899934	201.307636591	369.96890358
49	1054.26157402	33.9995122632	186.530430778	370.39994826
50	1030.28146202	35.9002508813	188.034221301	355.622974559
51	1017.80770544	36.1148374399	195.175636653	345.741493568
52	1014.55523595	36.3720198322	206.728276848	333.237228742
53	1013.70617859	36.6517056838	217.923250163	323.660574929
54	1012.71812682	36.7489527759	226.318884038	320.684540849
55	1011.35836424	35.1343295692	226.51917749	322.149140176
56	1010.2027249	35.8576550476	221.728825756	322.060232249
57	1002.34834865	37.8709109623	220.640723629	323.736781723
58	1001.6025443	37.6330172495	237.761839723	329.852376963
59	1001.39524404	37.7125830521	265.767156355	340.504657925
60	1003.42932813	37.549432972	264.744229081	346.547221654
61	1003.61994905	37.1435670091	265.242578266	345.547007479
62	1002.66287318	33.8106439438	267.821753871	339.74020852
63	1002.34517164	32.3117528137	269.588628254	334.833602318
64	989.234423468	31.5860162503	269.872377311	334.126308009
65	938.884289659	33.0318635121	269.016361247	335.154305911
66	788.614639761	34.2663389951	268.966287884	329.28400129
67	601.822815444	33.8805654067	266.705038393	334.227123247
68	452.426050518	33.8202882835	266.186818826	340.917444727
69	349.806071365	33.9191427655	265.678137043	344.646020901
70	282.834587404	28.7111993213	264.355564405	345.331882049
71	258.072929625	26.2880589688	263.583798762	350.552047457
72	223.820732687	26.2173338109	258.732246251	357.536876444
73	224.885827089	26.6995507964	257.122745295	355.543592481
74	223.140851398	26.9438740691	255.965494237	349.42720342
75	215.059318555	26.8602897916	253.801212211	343.318752567
76	190.306397568	26.4616570836	253.717756606	312.81618934
77	153.151997091	22.7799303987	253.148668861	287.283737977
78	109.38543338	22.2912838533	251.94134444	275.154950377
79	88.848411786	22.3981752851	266.667682075	270.63334725
80	71.5376492987	24.2113111508	268.205649655	266.175249786
81	65.5608891373	32.2675495899	268.310565273	258.706983947
82	65.5608891373	32.2675495899	267.742272343	250.800529042
